Date,Open,High,Low,Close
01/01/2009, 1.8491 , 1.9956 , 1.6982 , 1.7234 
01/02/2009, 1.7160 , 1.9157 , 1.6849 , 1.7352 
01/03/2009, 1.7012 , 1.7825 , 1.5311 , 1.7278 
01/04/2009, 1.7278 , 2.0754 , 1.6287 , 2.0754 
01/05/2009, 2.0754 , 2.3698 , 1.8979 , 2.3639 
01/06/2009, 2.3447 , 2.4231 , 1.8506 , 2.0414 
01/07/2009, 2.0414 , 2.2485 , 1.8447 , 2.2337 
01/08/2009, 2.2189 , 2.4379 , 2.1464 , 2.3077 
01/09/2009, 2.3107 , 2.5370 , 2.1228 , 2.4970 
01/10/2009, 2.4926 , 2.9379 , 2.3506 , 2.5740 
01/11/2009, 2.5740 , 2.7811 , 2.4882 , 2.6331 
01/12/2009, 2.6405 , 2.8254 , 2.5784 , 2.7145 
01/01/2010, 2.7145 , 2.9216 , 2.5577 , 2.6701 
01/02/2010, 2.6479 , 2.7485 , 2.4423 , 2.6124 
01/03/2010, 2.6198 , 2.8402 , 2.5074 , 2.8107 
01/04/2010, 2.8299 , 2.8817 , 2.5740 , 2.6257 
01/05/2010, 2.7101 , 2.7101 , 2.2189 , 2.5148 
01/06/2010, 2.5281 , 2.6479 , 2.4201 , 2.4704 
01/07/2010, 2.4586 , 2.6982 , 2.4157 , 2.6982 
01/08/2010, 2.7175 , 2.7796 , 2.5148 , 2.5148 
01/09/2010, 2.5888 , 2.7737 , 2.4926 , 2.7367 
01/10/2010, 2.7234 , 3.3107 , 2.7219 , 3.2500 
01/11/2010, 3.2663 , 3.5740 , 3.2441 , 3.3388 
01/12/2010, 3.3388 , 3.4719 , 3.1790 , 3.2249 
01/01/2011, 3.2544 , 3.3240 , 2.8891 , 2.9379 
01/02/2011, 2.9408 , 3.1657 , 2.7086 , 2.9660 
01/03/2011, 3.0030 , 3.2840 , 2.9157 , 3.0991 
01/04/2011, 3.0769 , 3.2870 , 2.8654 , 2.9142 
01/05/2011, 2.9142 , 2.9408 , 2.6109 , 2.6627 
01/06/2011, 2.6553 , 2.7367 , 2.4911 , 2.6331 
01/07/2011, 2.6494 , 2.8802 , 2.3743 , 2.5000 
01/08/2011, 2.5133 , 2.6479 , 2.1464 , 2.5459 
01/09/2011, 2.5828 , 2.8388 , 2.5192 , 2.7663 
01/10/2011, 2.7234 , 2.9423 , 2.7115 , 2.8521 
01/11/2011, 2.7500 , 2.8506 , 2.5089 , 2.6479 
01/12/2011, 2.6509 , 2.8254 , 2.5296 , 2.7781 
01/01/2012, 2.8166 , 2.9719 , 2.7604 , 2.8817 
01/02/2012, 2.9098 , 3.0592 , 2.7441 , 2.8254 
01/03/2012, 2.8254 , 3.0281 , 2.7988 , 2.9290 
01/04/2012, 2.9438 , 3.0370 , 2.7899 , 2.9793 
01/05/2012, 2.9793 , 3.0976 , 2.9053 , 3.0769 
01/06/2012, 3.0562 , 3.0917 , 2.7367 , 2.8831 
01/07/2012, 2.8713 , 2.8713 , 2.6450 , 2.7382 
01/08/2012, 2.7589 , 3.0030 , 2.7352 , 2.9734 
01/09/2012, 2.9586 , 3.5666 , 2.9512 , 3.4941 
01/10/2012, 3.5666 , 3.5666 , 3.3609 , 3.4512 
01/11/2012, 3.4349 , 4.0311 , 3.4142 , 4.0311 
01/12/2012, 3.9896 , 4.2115 , 3.8166 , 3.9941 
01/01/2013, 3.9941 , 4.3950 , 3.7367 , 3.7367 
01/02/2013, 3.7367 , 3.9305 , 3.5237 , 3.9186 
01/03/2013, 3.8772 , 4.0562 , 3.7382 , 3.8506 
01/04/2013, 3.8166 , 3.9763 , 3.5370 , 3.8772 
01/05/2013, 3.8772 , 4.2899 , 3.8254 , 4.1879 
01/06/2013, 4.1893 , 4.2382 , 3.9749 , 4.1642 
01/07/2013, 4.1494 , 4.2678 , 4.0562 , 4.1420 
01/08/2013, 4.1538 , 4.2722 , 3.8654 , 4.1420 
01/09/2013, 4.1701 , 4.2337 , 3.9941 , 3.9941 
01/10/2013, 3.9956 , 4.3595 , 3.9408 , 4.3047 
01/11/2013, 4.3047 , 4.7411 , 4.2633 , 4.6598 
01/12/2013, 4.6213 , 4.8210 , 4.5621 , 4.6095 
01/01/2014, 4.6095 , 4.6331 , 4.0311 , 4.0533 
01/02/2014, 4.0533 , 4.5828 , 3.9615 , 4.5251 
01/03/2014, 4.5251 , 4.7559 , 4.3654 , 4.6893 
01/04/2014, 4.6849 , 5.2000 , 4.6760 , 5.1750 
01/05/2014, 5.1750 , 5.3731 , 4.9962 , 5.0019 
01/06/2014, 5.0192 , 5.5577 , 4.9981 , 5.4404 
01/07/2014, 5.4423 , 5.5500 , 5.1269 , 5.2308 
01/08/2014, 5.2635 , 5.3846 , 4.9885 , 5.3750 
01/09/2014, 5.3788 , 5.5942 , 5.2904 , 5.4942 
01/10/2014, 5.4673 , 5.7192 , 5.0635 , 5.6212 
01/11/2014, 5.6481 , 5.9712 , 5.5865 , 5.8596 
01/12/2014, 5.8615 , 6.1404 , 5.5942 , 5.8846 
01/01/2015, 5.8846 , 6.4250 , 5.7308 , 6.1692 
01/02/2015, 6.2308 , 6.5423 , 5.8808 , 5.8808 
01/03/2015, 5.9058 , 6.2096 , 5.7135 , 6.1154 
01/04/2015, 6.1538 , 6.3731 , 5.9654 , 6.1692 
01/05/2015, 6.1731 , 6.8692 , 6.1654 , 6.5769 
01/06/2015, 6.6731 , 7.4385 , 6.5385 , 7.3115 
01/07/2015, 7.3692 , 7.7615 , 6.9577 , 7.1962 
01/08/2015, 7.2692 , 7.4038 , 6.0385 , 6.4423 
01/09/2015, 6.2385 , 6.6654 , 5.8923 , 5.9423 
01/10/2015, 5.9615 , 6.6231 , 5.4885 , 5.5385 
01/11/2015, 5.5385 , 6.2962 , 5.3538 , 5.8462 
01/12/2015, 5.9231 , 6.3731 , 5.6577 , 5.7500 
01/01/2016, 5.7500 , 6.0192 , 5.1654 , 5.9462 
01/02/2016, 5.8346 , 5.9231 , 4.9077 , 5.0731 
01/03/2016, 5.1038 , 5.8231 , 5.0192 , 5.4038 
01/04/2016, 5.5077 , 5.9462 , 5.1346 , 5.8385 
01/05/2016, 5.8154 , 6.1231 , 5.5231 , 5.5346 
01/06/2016, 5.5692 , 5.8692 , 5.2000 , 5.2846 
01/07/2016, 5.3154 , 5.9192 , 5.0615 , 5.8731 
01/08/2016, 5.8615 , 6.6962 , 5.7923 , 6.3577 
01/09/2016, 6.3500 , 6.9038 , 6.1962 , 6.7923 
01/10/2016, 6.7654 , 7.0385 , 6.5038 , 6.7692 
01/11/2016, 6.7692 , 6.7962 , 5.8000 , 5.9885 
01/12/2016, 5.9231 , 5.9654 , 5.4346 , 5.9615 
01/01/2017, 5.9231 , 6.2731 , 5.6808 , 6.1192 
01/02/2017, 6.1577 , 6.7423 , 6.0077 , 6.5308 
01/03/2017, 6.6308 , 6.9423 , 6.2577 , 6.6923 
01/04/2017, 6.6731 , 6.9115 , 6.3846 , 6.8077 
01/05/2017, 6.8077 , 7.8577 , 6.6038 , 7.3077 
01/06/2017, 7.3154 , 7.4654 , 6.6615 , 6.8077 
01/07/2017, 6.8346 , 7.6115 , 6.8000 , 7.2846 
01/08/2017, 7.3077 , 8.1077 , 7.2654 , 7.8692 
01/09/2017, 7.9231 , 9.1500 , 7.8769 , 8.2308 
