Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Total;;
09/30/2023 22:00:18;109375;703125;0;0;44921875;;
09/30/2023 22:00:20;125;78125;478750467;0;6274998;;
09/30/2023 22:00:22;9375;125;390625;0;64453125;;
09/30/2023 22:00:24;1171875;234375;0;1484375;72265625;;
09/30/2023 22:00:26;125;15625;23317337;9651815;651150942;;
09/30/2023 22:00:28;109375;7936507;793647766;0;491691828;;
09/30/2023 22:00:30;1328125;546875;3125;0;546875;;
09/30/2023 22:00:32;125;546875;78125;0;46875;;
09/30/2023 22:00:34;9375;46875;0;151515007;389441252;;
09/30/2023 22:00:36;1328125;703125;317540169;0;587197542;;
09/30/2023 22:00:38;1484375;625;70192337;0;7028246;;
09/30/2023 22:00:40;140625;3125;234375;703125;6640625;;
09/30/2023 22:00:42;125;146394253;556955338;322580338;8983696;;
09/30/2023 22:00:44;78125;390625;390625;4699898;508122444;;
09/30/2023 22:00:46;1015625;46875;793647766;793647766;410776138;;
09/30/2023 22:00:48;1328125;234375;793647766;0;4104662;;
09/30/2023 22:00:50;1484375;9375;234375;757575035;6830019;;
09/30/2023 22:00:52;15625;46875;0;0;5078125;;
09/30/2023 22:00:54;140625;231971145;0;0;409555435;;
09/30/2023 22:00:56;109375;46875;316220522;0;469679832;;
09/30/2023 22:00:58;1015625;625;3174603;0;489521027;;
09/30/2023 22:01:00;141121025;1015625;125;6251526;107549667;;
09/30/2023 22:01:02;197172642;1640625;296875;21875;219215031;;
09/30/2023 22:01:04;234375;1640625;359375;210622673;242108822;;
09/30/2023 22:01:06;375;461538429;4453125;4296875;4278846;;
09/30/2023 22:01:08;15625;109995;1953125;100480795;140509548;;
09/30/2023 22:01:10;3125;1796875;1171875;3828125;248046875;;
09/30/2023 22:01:12;3326007;703125;77524066;141865072;155575571;;
09/30/2023 22:01:14;9375;5396634;1640625;203125;128725948;;
09/30/2023 22:01:16;2109375;393105149;171875;1484375;142640114;;
09/30/2023 22:01:18;1171875;6300366;4813504;295454559;130945206;;
09/30/2023 22:01:20;2265625;1640625;171875;34375;2265625;;
09/30/2023 22:01:22;213417645;118314981;157986107;138949928;157167139;;
09/30/2023 22:01:24;25;15625;864335251;471230125;134951591;;
09/30/2023 22:01:26;3125;78125;15625;9375;16015625;;
09/30/2023 22:01:28;1015625;859375;11817956;3984375;176029263;;
09/30/2023 22:01:30;125496025;709325075;6107223;0;6437516;;
09/30/2023 22:01:32;1171875;46875;757575035;0;42909565;;
09/30/2023 22:01:33;859375;703125;234375;0;44921875;;
09/30/2023 22:01:34;9375;46875;78125;38461566;6430292;;
09/30/2023 22:01:35;390625;234375;140625;15625;546875;;
09/30/2023 22:01:36;153846149;5384612;692307949;231971145;7503009;;
09/30/2023 22:01:37;546875;546875;1015625;15625;56640625;;
09/30/2023 22:01:38;21875;1171875;1171875;125;14453125;;
09/30/2023 22:01:39;290302582;109871025;125;134052572;164806538;;
09/30/2023 22:01:40;341105766;162500019;1015625;131610575;184194736;;
09/30/2023 22:01:41;399305573;1640625;149305582;111751137;206106186;;
09/30/2023 22:01:42;237103157;109995;17216116;30466198;205980358;;
09/30/2023 22:01:43;4615384;144522133;553075075;2846154;132649717;;
09/30/2023 22:01:44;301587276;198412666;8545673;151817684;1843186;;
09/30/2023 22:01:45;395037155;191028233;124038458;209134579;229809647;;
09/30/2023 22:01:46;153882561;54086566;7118058;203745;120723667;;
09/30/2023 22:01:47;147596121;6201923;770432949;194831734;120372534;;
09/30/2023 22:01:48;3046875;46875;546875;546875;115234375;;
09/30/2023 22:01:49;25;8644152;3125;1015625;1173135;;
09/30/2023 22:01:50;252480145;132331734;1015625;8730162;143419027;;
09/30/2023 22:01:51;271274033;1640625;165426617;3342548;233754463;;
09/30/2023 22:01:52;3515625;6349206;153846145;387018919;117285309;;
09/30/2023 22:01:54;126364117;6349206;4737103;277777786;128751278;;
09/30/2023 22:01:56;3139881;859375;3174603;139783621;142863808;;
09/30/2023 22:01:58;25;3125;3125;703125;95703125;;
