Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Total;;
09/30/2023 22:00:18;109375;703125;0;0;44921875;;
09/30/2023 22:00:22;9375;125;390625;0;64453125;;
09/30/2023 22:00:26;125;15625;23317337;9651815;651150942;;
09/30/2023 22:00:30;1328125;546875;3125;0;546875;;
09/30/2023 22:00:34;9375;46875;0;151515007;389441252;;
09/30/2023 22:00:38;1484375;625;70192337;0;7028246;;
09/30/2023 22:00:42;125;146394253;556955338;322580338;8983696;;
09/30/2023 22:00:46;1015625;46875;793647766;793647766;410776138;;
09/30/2023 22:00:50;1484375;9375;234375;757575035;6830019;;
09/30/2023 22:00:54;140625;231971145;0;0;409555435;;
09/30/2023 22:00:58;1015625;625;3174603;0;489521027;;
09/30/2023 22:01:02;197172642;1640625;296875;21875;219215031;;
09/30/2023 22:01:06;375;461538429;4453125;4296875;4278846;;
09/30/2023 22:01:10;3125;1796875;1171875;3828125;248046875;;
09/30/2023 22:01:14;9375;5396634;1640625;203125;128725948;;
09/30/2023 22:01:18;1171875;6300366;4813504;295454559;130945206;;
09/30/2023 22:01:22;213417645;118314981;157986107;138949928;157167139;;
09/30/2023 22:01:26;3125;78125;15625;9375;16015625;;
09/30/2023 22:01:30;125496025;709325075;6107223;0;6437516;;
09/30/2023 22:01:33;859375;703125;234375;0;44921875;;
09/30/2023 22:01:35;390625;234375;140625;15625;546875;;
09/30/2023 22:01:37;546875;546875;1015625;15625;56640625;;
09/30/2023 22:01:39;290302582;109871025;125;134052572;164806538;;
09/30/2023 22:01:41;399305573;1640625;149305582;111751137;206106186;;
09/30/2023 22:01:43;4615384;144522133;553075075;2846154;132649717;;
09/30/2023 22:01:45;395037155;191028233;124038458;209134579;229809647;;
09/30/2023 22:01:47;147596121;6201923;770432949;194831734;120372534;;
09/30/2023 22:01:49;25;8644152;3125;1015625;1173135;;
09/30/2023 22:01:51;271274033;1640625;165426617;3342548;233754463;;
09/30/2023 22:01:54;126364117;6349206;4737103;277777786;128751278;;
09/30/2023 22:01:58;25;3125;3125;703125;95703125;;
09/30/2023 22:02:02;3359375;781440735;116225958;151945705;170563278;;
09/30/2023 22:02:06;36036705;7849705;203125;1875;2073723;;
09/30/2023 22:02:10;102430582;5505955;124053717;211945534;123372316;;
09/30/2023 22:02:14;341269836;341269836;128805637;185402031;249186821;;
09/30/2023 22:02:18;140024071;692307949;5432689;288461571;1380108;;
09/30/2023 22:02:22;272727242;10526907;4477608;1205337;135826588;;
09/30/2023 22:02:26;2734375;3125;46875;118427572;1174975;;
09/30/2023 22:02:30;109375;1484375;859375;1171875;115234375;;
09/30/2023 22:02:34;387018919;153846145;546875;308531761;104326487;;
09/30/2023 22:02:38;21875;2421875;546875;1015625;154296875;;
09/30/2023 22:02:42;1875;1796875;130769253;339423065;209344978;;
09/30/2023 22:02:45;15625;203125;393105149;118923607;942460251;;
09/30/2023 22:02:47;178245182;140659332;238095226;8545673;160614128;;
09/30/2023 22:02:49;342037926;167590733;3993857;476190472;149296579;;
09/30/2023 22:02:51;125;78125;703125;9256625;739228153;;
09/30/2023 22:02:53;703125;859375;308893919;1953125;95613;;
09/30/2023 22:02:55;3515625;1171875;116466341;1467548;182992764;;
09/30/2023 22:02:59;234375;625;703125;110491037;119419632;;
09/30/2023 22:03:02;186316261;104319811;381119251;111062288;109952564;;
09/30/2023 22:03:06;2109375;78125;1171875;8742958;123419876;;
09/30/2023 22:03:10;125;46875;1484375;546875;9375;;
09/30/2023 22:03:14;1953125;3125;625;1349206;10599577;;
09/30/2023 22:03:18;2265625;6983173;703125;2265625;148317337;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
