Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Total;CPU Core #12;CPU Core #23;CPU Core #34;CPU Core #45;CPU Core #16;CPU Core #27;CPU Core #38;CPU Core #42
09/30/2023 22:00:18;109375;703125;0;0;44921875;62;62;64;61;131040088;131040088;131040088;131040088
09/30/2023 22:00:19;9375;15625;38461566;0;369591117;64;62;67;63;131040063;141120068;141120068;141120068
09/30/2023 22:00:20;125;78125;478750467;0;6274998;64;62;65;62;131040063;131040063;131040063;161280078
09/30/2023 22:00:21;859375;703125;0;0;390625;64;62;65;61;1512;13104;141120007;13104
09/30/2023 22:00:22;9375;125;390625;0;64453125;66;64;67;63;141120142;141120142;131040125;141120142
09/30/2023 22:00:23;1875;109375;9375;9848488;122277441;69;65;70;69;131037085;131037085;131037085;131037085
09/30/2023 22:00:24;1171875;234375;0;1484375;72265625;64;64;67;64;131043079;131043079;131043079;131043079
09/30/2023 22:00:25;1953125;15625;314980149;4724705;724205971;64;64;67;66;131040015;131040015;131040015;131040015
09/30/2023 22:00:26;125;15625;23317337;9651815;651150942;65;63;66;62;191520154;151200122;141120117;181440149
09/30/2023 22:00:27;171875;138461533;84615345;61188817;11403513;64;62;66;62;141120081;141120081;131040076;131040076
09/30/2023 22:00:28;109375;7936507;793647766;0;491691828;63;63;65;62;141120056;141120056;141120056;141120056
09/30/2023 22:00:29;84615345;1076923;7692337;0;4999995;64;62;65;62;131040015;131040015;151200024;131040015
09/30/2023 22:00:30;1328125;546875;3125;0;546875;64;63;66;62;131040076;131040076;151200085;201600122
09/30/2023 22:00:31;125;78125;78125;793647766;547184944;64;62;65;62;141120081;131040076;131040076;16128009
09/30/2023 22:00:32;125;546875;78125;0;46875;64;62;65;61;131040088;131040088;141120093;131040088
09/30/2023 22:00:33;109375;703125;0;0;44921875;64;63;66;62;1411201;15120011;1411201;161280115
09/30/2023 22:00:34;9375;46875;0;151515007;389441252;69;66;67;63;332640161;2016001;131040063;141120068
09/30/2023 22:00:35;9375;46875;546875;317540169;5676663;66;68;67;63;292320068;292320068;141120032;171360034
09/30/2023 22:00:36;1328125;703125;317540169;0;587197542;64;62;65;62;1814401;20160011;151200085;16128009
09/30/2023 22:00:37;1796875;625;387018919;303030014;7779813;65;64;67;63;141120081;131040076;141120081;131040076
09/30/2023 22:00:38;1484375;625;70192337;0;7028246;63;62;66;62;141120068;131040063;131040063;131040063
09/30/2023 22:00:39;1640625;46875;234375;0;5859375;65;63;67;63;131039929;151199915;151199915;151199915
09/30/2023 22:00:40;140625;3125;234375;703125;6640625;64;62;66;62;13104021;13104021;13104021;13104021
09/30/2023 22:00:41;125;101934547;3125;625;8017111;64;63;67;64;131040051;131040051;120960046;131040051
09/30/2023 22:00:42;125;146394253;556955338;322580338;8983696;63;62;66;62;131040063;131040063;131040063;181440088
09/30/2023 22:00:43;1484375;140625;130208378;9090906;127544937;76;71;77;69;2016002;141120129;131040125;151200146
09/30/2023 22:00:44;78125;390625;390625;4699898;508122444;66;64;68;63;14112002;131040027;131040027;14112002
09/30/2023 22:00:45;78125;3125;15625;46875;4296875;63;62;65;62;131040039;131040039;141120032;141120032
09/30/2023 22:00:46;1015625;46875;793647766;793647766;410776138;63;63;65;62;131040112;141120117;161280127;201600171
09/30/2023 22:00:47;78125;1171875;31129837;0;566105843;64;62;66;61;141120032;131040027;131040027;131040027
09/30/2023 22:00:48;1328125;234375;793647766;0;4104662;63;62;65;62;131040088;1411201;15120011;292320215
09/30/2023 22:00:49;1171875;625;78125;0;46875;63;62;65;62;131040076;131040076;131040076;141120081
09/30/2023 22:00:50;1484375;9375;234375;757575035;6830019;63;62;65;61;131040039;131040039;131040039;141120044
09/30/2023 22:00:51;1171875;859375;625;0;6640625;63;62;65;61;141120093;141120093;141120093;1512001
