Linha do Tempo;Valores;Previsão;Limite de Confiança Inferior;Limite de Confiança Superior
1;109375;;;
2;9375;;;
3;125;;;
4;859375;;;
5;9375;;;
6;1875;;;
7;1171875;;;
8;1953125;;;
9;125;;;
10;171875;;;
11;109375;;;
12;84615345;;;
13;1328125;;;
14;125;;;
15;125;;;
16;109375;;;
17;9375;;;
18;9375;;;
19;1328125;;;
20;1796875;;;
21;1484375;;;
22;1640625;;;
23;140625;;;
24;125;;;
25;125;;;
26;1484375;;;
27;78125;;;
28;78125;;;
29;1015625;;;
30;78125;;;
31;1328125;;;
32;1171875;;;
33;1484375;;;
34;1171875;;;
35;15625;;;
36;9375;;;
37;140625;;;
38;125;;;
39;109375;;;
40;109375;;;
41;1015625;;;
42;140625;;;
43;141121025;;;
44;287740345;;;
45;197172642;;;
46;301562481;;;
47;234375;;;
48;265625;;;
49;375;;;
50;305431538;;;
51;15625;;;
52;216105766;;;
53;3125;;;
54;305803528;;;
55;3326007;;;
56;131610575;;;
57;9375;;;
58;2109375;;;
59;2109375;;;
60;247355766;;;
61;1171875;;;
62;308779774;;;
63;2265625;;;
64;15625;;;
65;213417645;;;
66;100240345;;;
67;25;;;
68;265625;;;
69;3125;;;
70;296875;;;
71;1015625;;;
72;703125;;;
73;125496025;;;
74;101081734;;;
75;1171875;;;
76;859375;;;
77;9375;;;
78;390625;;;
79;153846149;;;
80;546875;;;
81;21875;;;
82;290302582;;;
83;341105766;;;
84;399305573;;;
85;237103157;;;
86;4615384;;;
87;301587276;;;
88;395037155;;;
89;153882561;;;
90;147596121;;;
91;3046875;;;
92;25;;;
93;252480145;;;
94;271274033;;;
95;3515625;;;
96;2299534;;;
97;126364117;;;
98;2265625;;;
99;3139881;;;
100;303485565;;;
101;25;;;
102;3064236;;;
103;2782452;;;
104;265625;;;
105;3359375;;;
106;3046875;;;
107;1484375;;;
108;1875;;;
109;36036705;;;
110;264663467;;;
111;4436298;;;
112;234995;;;
113;102430582;;;
114;269230728;;;
115;271889381;;;
116;8333338;;;
117;341269836;;;
118;2734375;;;
119;174231167;;;
120;8510375;;;
121;140024071;;;
122;7118058;;;
123;27259613;;;
124;234375;;;
125;272727242;;;
126;219254017;;;
127;109375;;;
128;2734375;;;
129;2734375;;;
130;219618073;;;
131;1324519;;;
132;25;;;
133;109375;;;
134;3046875;;;
135;1171875;;;
136;166294632;;;
137;387018919;;;
138;109498978;;;
139;272836571;;;
140;15625;;;
141;21875;;;
142;3125;;;
143;859375;;;
144;296875;;;
145;1875;;;
146;78125;;;
147;5518353;;;
148;15625;;;
149;2046131;;;
150;178245182;;;
151;384615364;;;
152;342037926;;;
153;37259613;;;
154;125;;;
155;21875;;;
156;703125;;;
157;2421875;;;
158;3515625;;;
159;703125;;;
160;1015625;;;
161;703125;;;
162;234375;;;
163;1640625;;;
164;196180573;;;
165;186316261;;;
166;15687;;;
167;328125;;;
168;125;;;
169;2109375;;;
170;1484375;;;
171;625;;;
172;1796875;;;
173;125;;;
174;9375;;;
175;1640625;;;
176;1015625;;;
177;1953125;;;
178;1328125;;;
179;1640625;;;
180;1015625;;;
181;2265625;;;
182;140625;;;
183;859375;;;
184;792410374;;;
185;123197079;;;
186;15625;;;
187;34375;;;
188;1875;;;
189;138461533;;;
190;198412666;;;
191;2578125;;;
192;703125;;;
193;109375;;;
194;2421875;;;
195;1796875;;;
196;15625;;;
197;6201923;;;
198;9375;;;
199;265625;;;
200;1640625;1640625;1640625,00;1640625,00
201;;-5538,220996;-233528202,06;233517125,62
202;;1581496,179;-233816878,11;236979870,46
203;;518697,1087;-236769862,62;237807256,83
204;;1842347,143;-237350757,85;241035452,14
205;;43296941,74;-197814954,23;284408837,71
206;;34744933,27;-208299886,36;277789752,91
207;;-522732,7366;-245514496,81;244469031,33
208;;58416187,34;-188536431,14;305368805,81
209;;182939316;-65987957,20;431866589,22
210;;68248840,61;-182666779,18;319164460,41
211;;152537167,8;-100380383,09;405454718,76
212;;34429761,91;-220503198,56;289362722,39
213;;89861784,71;-167099958,82;346823528,24
214;;107307868,1;-151695928,22;366311664,52
215;;223950212,1;-37108804,36;485009228,61
216;;142431546,1;-120695756,46;405558848,74
217;;161458709,3;-103749845,36;426667263,90
