Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Total;CPU Core #12;CPU Core #23;CPU Core #34;CPU Core #45;CPU Package;CPU Core #16;CPU Core #27;CPU Core #38;CPU Core #42;CPU Package3;CPU Cores;CPU Graphics;CPU DRAM;Bus Speed;Memory;Used Memory;Available Memory
09/30/2023 22:00:18;109.375;703.125;0;0;44.921.875;62;62;64;61;64;131.040.088;131.040.088;131.040.088;131.040.088;4.231.068;201.799.154;0.134162441;0;100.800.072;572.481.041;9.011.425;6.729.576
09/30/2023 22:00:19;9.375;15.625;38.461.566;0;369.591.117;64;62;67;63;67;131.040.063;141.120.068;141.120.068;141.120.068;488.649.225;2.614.789;0.04789532;0;100.800.049;5.724.435;9.010.834;673.016.739
09/30/2023 22:00:20;12.5;78.125;478.750.467;0;6.274.998;64;62;65;62;65;131.040.063;131.040.063;131.040.063;161.280.078;502.750.063;260.658.216;0.143379033;0;100.800.049;5.724.469;9.010.887;6.730.114
09/30/2023 22:00:21;859.375;703.125;0;0;390.625;64;62;65;61;65;1512;1310.4;141.120.007;1310.4;398.452.854;176.817.107;0.07913149;0;100.8;5.722.959;9.008.511;673.249.054
09/30/2023 22:00:22;9.375;12.5;390.625;0;64.453.125;66;64;67;63;67;141.120.142;141.120.142;131.040.125;141.120.142;548.163.843;312.964.654;0.193707883;0;100.800.095;572.440.834;9.010.792;673.020.935
09/30/2023 22:00:23;18.75;109.375;9.375;9.848.488;122.277.441;69;65;70;69;70;131.037.085;131.037.085;131.037.085;131.037.085;700.071.573;415.279.675;0.826975346;0;10.079.776;578.423.538;9.104.965;6.636.036
09/30/2023 22:00:24;1.171.875;234.375;0;1.484.375;72.265.625;64;64;67;64;66;131.043.079;131.043.079;131.043.079;131.043.079;6.475.087;340.971.947;109.937.227;0;100.802.368;5.782.975;9.102.982;663.801.956
09/30/2023 22:00:25;1.953.125;15.625;314.980.149;4.724.705;724.205.971;64;64;67;66;67;131.040.015;131.040.015;131.040.015;131.040.015;736.788.845;404.428.434;108.700.812;0;100.800.011;5.777.445;9.094.276;66.467.247
09/30/2023 22:00:26;12.5;15.625;23.317.337;9.651.815;651.150.942;65;63;66;62;66;191.520.154;151.200.122;141.120.117;181.440.149;5.851.962;298.279.643;0.6854256;0;100.800.079;578.093.948;9.099.777;6.641.224
09/30/2023 22:00:27;171.875;138.461.533;84.615.345;61.188.817;11.403.513;64;62;66;62;66;141.120.081;141.120.081;131.040.076;131.040.076;748.891.163;509.349.728;0.272425652;0;100.800.056;577.807.961;9.095.276;664.572.525
