Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;CPU Total;CPU Core #12;CPU Core #23;CPU Core #34;CPU Core #45;CPU Package;CPU Core #16;CPU Core #27;CPU Core #38;CPU Core #42;CPU Package3;CPU Cores;CPU Graphics;CPU DRAM;Bus Speed;Memory;Used Memory;Available Memory
09/30/2023 22:00:18;10.9375;7.03125;0;0;4.4921875;62;62;64;61;64;1310.40088;1310.40088;1310.40088;1310.40088;4.231068;2.01799154;0.134162441;0;100.800072;57.2481041;9.011425;6.729576
09/30/2023 22:00:19;9.375;1.5625;3.8461566;0;3.69591117;64;62;67;63;67;1310.40063;1411.20068;1411.20068;1411.20068;4.88649225;2.614789;0.04789532;0;100.800049;57.24435;9.010834;6.73016739
09/30/2023 22:00:20;12.5;7.8125;4.78750467;0;6.274998;64;62;65;62;65;1310.40063;1310.40063;1310.40063;1612.80078;5.02750063;2.60658216;0.143379033;0;100.800049;57.24469;9.010887;6.730114
09/30/2023 22:00:21;8.59375;7.03125;0;0;3.90625;64;62;65;61;65;1512;1310.4;1411.20007;1310.4;3.98452854;1.76817107;0.07913149;0;100.8;57.22959;9.008511;6.73249054
09/30/2023 22:00:22;9.375;12.5;3.90625;0;6.4453125;66;64;67;63;67;1411.20142;1411.20142;1310.40125;1411.20142;5.48163843;3.12964654;0.193707883;0;100.800095;57.2440834;9.010792;6.73020935
09/30/2023 22:00:23;18.75;10.9375;9.375;9.848488;12.2277441;69;65;70;69;70;1310.37085;1310.37085;1310.37085;1310.37085;7.00071573;4.15279675;0.826975346;0;100.79776;57.8423538;9.104965;6.636036
09/30/2023 22:00:24;11.71875;2.34375;0;14.84375;7.2265625;64;64;67;64;66;1310.43079;1310.43079;1310.43079;1310.43079;6.475087;3.40971947;1.09937227;0;100.802368;57.82975;9.102982;6.63801956
09/30/2023 22:00:25;19.53125;1.5625;3.14980149;4.724705;7.24205971;64;64;67;66;67;1310.40015;1310.40015;1310.40015;1310.40015;7.36788845;4.04428434;1.08700812;0;100.800011;57.77445;9.094276;6.6467247
09/30/2023 22:00:26;12.5;1.5625;2.3317337;9.651815;6.51150942;65;63;66;62;66;1915.20154;1512.00122;1411.20117;1814.40149;5.851962;2.98279643;0.6854256;0;100.800079;57.8093948;9.099777;6.641224
09/30/2023 22:00:27;17.1875;13.8461533;8.4615345;6.1188817;11.403513;64;62;66;62;66;1411.20081;1411.20081;1310.40076;1310.40076;7.48891163;5.09349728;0.272425652;0;100.800056;57.7807961;9.095276;6.64572525
