dado_coletado,Representacao,data_hora,nome_componente,descricao,id_maquina,hostname,razao_social
1.2,%,14:02:34,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.9,%,14:02:28,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.2,%,14:02:21,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
1.4,%,14:02:15,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
6.2,%,14:02:09,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.7,%,14:02:03,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
17.8,%,14:01:57,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.8,%,14:01:51,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.6,%,14:01:45,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
6,%,14:01:39,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.4,%,14:01:33,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2,%,14:01:27,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
8.1,%,14:01:21,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.7,%,14:01:14,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.2,%,14:01:08,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
1.2,%,14:01:02,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.5,%,14:00:56,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
17.1,%,14:00:50,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.2,%,14:00:44,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.5,%,14:00:38,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
1.6,%,14:00:32,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.5,%,14:00:26,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.1,%,14:00:20,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.4,%,14:00:14,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.8,%,14:00:07,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
1.2,%,14:00:01,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.6,%,13:59:55,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.5,%,13:59:49,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
18.1,%,13:59:43,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.6,%,13:59:37,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
12.7,%,13:59:31,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
6.7,%,13:59:25,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.8,%,13:59:19,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.8,%,13:59:13,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7,%,13:59:07,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
6,%,13:59:00,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
6.4,%,13:58:54,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.7,%,13:58:48,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
43.2,%,13:58:42,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.2,%,13:58:36,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.1,%,13:58:30,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.7,%,13:58:24,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.1,%,13:58:18,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
6.9,%,13:58:12,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.5,%,13:58:06,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.2,%,13:58:00,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.5,%,13:57:53,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
1,%,13:57:47,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.3,%,13:57:41,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
15,%,13:57:35,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2,%,13:57:29,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.7,%,13:57:23,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.3,%,13:57:17,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.9,%,13:57:11,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.2,%,13:57:05,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.5,%,13:56:59,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.9,%,13:56:53,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
8.1,%,13:56:47,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
20.3,%,13:56:40,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.2,%,13:56:34,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.6,%,13:56:28,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
0.8,%,13:56:22,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
14.9,%,13:56:16,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.7,%,13:56:10,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
14.2,%,13:56:04,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
6,%,13:55:58,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.7,%,13:55:52,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5.1,%,13:55:46,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
13.4,%,13:55:40,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.4,%,13:55:34,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
85.8,%,13:55:28,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
23.3,%,13:55:21,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
20.3,%,13:55:15,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.7,%,13:55:09,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
1.8,%,13:55:03,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.3,%,13:54:57,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.7,%,13:54:51,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
1.7,%,13:54:45,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.7,%,13:54:39,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
10.7,%,13:54:33,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
20.9,%,13:54:27,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
42.4,%,13:54:21,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.2,%,13:54:15,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3.5,%,13:54:08,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
4.1,%,13:54:02,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
6.7,%,13:53:56,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
2.6,%,13:53:50,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
3,%,13:53:44,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
5,%,13:53:24,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
7.5,%,13:53:18,CPU,"uso cpu",1,Notebook-Ritinha,"Rita metro"
