Time;CPU Core #1;CPU Core #2;CPU Core #3;CPU Core #4;,;CPU Core #12;CPU Core #23;CPU Core #34;CPU Core #45;CPU Package;CPU Core #16;CPU Core #27;CPU Core #38;CPU Core #49;CPU Package10;CPU Cores;CPU Graphics;CPU DRAM;Bus Speed;Memory;Used Memory;Available Memory
09/30/2023 22:51:43;23.4375;19.53125;13.849431;12.5;17,3;65;63;66;63;66;1310.40076;1310.40076;1411.20081;1411.20081;6.360431;4.05154657;0.235385939;0;100.800064;60.64091;9.545486;6.19551468
09/30/2023 22:51:48;13.28125;3.90625;0.7692337;0;4,5;66;62;65;61;66;3326.402;2016.00122;1310.40088;1411.20093;3.811378;1.6628747;0.03569085;0;100.800064;60.4923553;9.522102;6.218899
09/30/2023 22:51:53;12.5;7.03125;0;0;4,9;63;61;63;60;64;1310.40076;1310.40076;1310.40076;1310.40076;3.64116526;1.56158733;0.0297258031;0;100.800056;59.9768944;9.440964;6.30003738
09/30/2023 22:51:58;9.375;3.125;1.5625;0;3,5;63;61;65;61;65;1310.40051;1310.40051;1310.40051;1310.40051;3.99177122;1.8569659;0.0428200252;0;100.800041;59.9602242;9.438339;6.302662
09/30/2023 22:52:03;11.55048;3.90625;0;0;3,9;61;61;63;60;64;1310.40125;1310.40125;1310.40125;1310.40125;3.923238;1.84906411;0.0283802543;0;100.800095;60.00915;9.446041;6.29496
09/30/2023 22:52:08;8.59375;7.8125;0.806450844;1.60009861;4,7;62;61;63;61;63;1411.20056;1310.40051;1310.40051;1310.40051;3.90145183;1.72234106;0.0327842757;0;100.800034;60.0080376;9.445866;6.2951355
09/30/2023 22:52:13;7.03125;3.90625;1.5625;1.5625;3,5;60;62;64;61;64;1411.20044;1411.20044;1310.40039;2016.00061;3.843554;1.68285465;0.03743483;0;100.800026;60.02444;9.448448;6.292553
09/30/2023 22:52:18;11.71875;5.420673;1.538825;0;4,7;63;62;65;60;65;1814.401;2016.0011;2016.0011;2016.0011;3.93436933;1.7978524;0.0467038527;0;100.800056;60.001564;9.444847;6.296154
09/30/2023 22:52:23;5.46875;4.6875;0.78125;0;2,7;63;61;64;59;64;1411.201;1310.401;1209.60083;1411.201;3.76364;1.69049537;0.0370226353;0;100.800072;60.4965973;9.52277;6.218231
09/30/2023 22:52:28;20.3125;16.40625;11.71875;9.375;14,5;63;62;65;62;65;1612.80054;1310.40039;1310.40039;1310.40039;6.0533247;3.60840845;0.2608444;0;100.800034;60.6629639;9.548958;6.1920433
09/30/2023 22:52:33;24.21875;14.0625;6.25;12.5;14,3;65;62;66;62;66;1310.40063;1310.40063;1310.40063;1310.40063;6.21202564;3.40274453;0.5824904;0;100.800049;60.9583778;9.595459;6.145542
09/30/2023 22:52:38;26.73611;13.1009579;3.125;6.983173;12,5;70;68;72;69;72;2015.99707;2923.1958;3427.195;3326.39526;9.952152;6.80759048;0.829644144;0;100.799858;60.54114;9.529781;6.21122
09/30/2023 22:52:43;11.71875;13.28125;1.5625;3.90625;7,6;69;64;69;68;69;1310.401;1310.401;1310.401;1310.401;5.763395;3.322425;0.154491782;0;100.800072;60.8450851;9.577625;6.163376
09/30/2023 22:52:48;12.5;9.314907;12.5;32.8125;16,8;69;66;69;68;69;1310.40015;1310.40015;1310.40015;1310.40015;8.088857;5.29706955;0.395522922;0;100.800011;60.8533249;9.578922;6.162079
09/30/2023 22:52:53;6.25;7.69230747;0;1.51515007;3,9;66;63;67;64;67;1310.401;1310.401;1310.401;1411.201;4.72766447;2.38839436;0.0889082849;0;100.800072;60.96703;9.596821;6.1441803
09/30/2023 22:52:58;7.8125;8.59375;6.299603;4.813111;6,9;64;63;67;63;67;1411.20032;1411.20032;2419.20044;2419.20044;5.82143354;3.608669;0.04475945;0;100.800018;60.983532;9.599419;6.14158249
09/30/2023 22:53:03;25.78125;26.5625;41.40625;26.964962;30,2;69;66;69;67;69;1209.60046;1310.40051;1310.40051;1310.40051;10.2401285;6.9998374;0.7447388;0;100.800041;61.11321;9.619831;6.12117
09/30/2023 22:53:08;15.625;13.28125;4.6875;8.630955;10,6;65;64;67;64;67;1612.79968;1310.39966;1511.99963;1411.19971;6.114145;3.501517;0.368920267;0;100.79998;61.08202;9.614922;6.12607956
09/30/2023 22:53:13;32.03125;7.03125;2.34375;3.90625;11,3;69;68;72;68;72;1411.20068;1512.00073;1512.00073;1310.40063;8.860654;6.224726;0.5290232;0;100.800049;61.0834732;9.61515;6.12585068
09/30/2023 22:53:18;18.1547642;17.1875;3.90625;7.87450075;11,8;74;71;76;75;75;2620.80176;2620.80176;2016.00134;2016.00134;11.3671055;8.153624;0.733324647;0;100.800064;61.048893;9.609707;6.13129425
09/30/2023 22:53:23;24.649477;10.7575779;2.272725;13.6363621;12,8;77;77;78;81;81;2923.20215;2822.402;2923.20215;2923.20215;10.02296;6.85694361;0.7044246;0;100.800072;60.7766953;9.56686;6.174141
09/30/2023 22:53:28;6.31200075;33.8583641;4.6875;11.5384579;14,1;76;74;75;76;76;1814.40051;2419.20068;1915.20056;3124.80078;12.5039349;9.132545;0.7601534;0;100.800026;60.5977249;9.538689;6.20231247
09/30/2023 22:53:33;3.93105149;32.03125;4.651439;0;10,2;92;81;81;88;91;2721.60132;2116.801;1713.60083;1612.80078;14.2580872;10.8496723;0.8247669;0;100.800049;60.4783478;9.519897;6.22110367
09/30/2023 22:53:38;39.96776;15.625;12.5;10.3174572;19,6;90;89;92;91;95;3326.40137;3124.80127;3427.20142;3124.80127;12.2054453;8.745223;0.7830767;0;100.800041;60.5299644;9.528023;6.21297836
