id_monitoramento,dado_coletado,data_hora,descricao,fk_componentes_monitoramento,fk_maquina_monitoramento,fk_empresa_monitoramento,fk_unidade_medida
1,4139481,"2023-11-09 09:33:34","bytes enviados",4,1,1,1
2,49582350,"2023-11-09 09:33:34","bytes recebidos",4,1,1,1
3,2.2,"2023-11-09 09:33:59","uso cpu",2,1,1,2
4,364016156672,"2023-11-09 09:33:59","disco livre",3,1,1,1
5,489271848960,"2023-11-09 09:33:59","disco total",3,1,1,1
6,4709105664,"2023-11-09 09:33:59","memoria disponivel",1,1,1,1
7,16901771264,"2023-11-09 09:33:59","memoria total",1,1,1,1
8,0.4,"2023-11-09 09:34:05","uso cpu",2,1,1,2
9,364016156672,"2023-11-09 09:34:05","disco livre",3,1,1,1
10,489271848960,"2023-11-09 09:34:05","disco total",3,1,1,1
11,4716716032,"2023-11-09 09:34:05","memoria disponivel",1,1,1,1
12,16901771264,"2023-11-09 09:34:05","memoria total",1,1,1,1
13,0.6,"2023-11-09 09:34:11","uso cpu",2,1,1,2
14,364016156672,"2023-11-09 09:34:11","disco livre",3,1,1,1
15,489271848960,"2023-11-09 09:34:11","disco total",3,1,1,1
16,4706107392,"2023-11-09 09:34:11","memoria disponivel",1,1,1,1
17,16901771264,"2023-11-09 09:34:11","memoria total",1,1,1,1
18,0.2,"2023-11-09 09:34:17","uso cpu",2,1,1,2
19,364015996928,"2023-11-09 09:34:17","disco livre",3,1,1,1
20,489271848960,"2023-11-09 09:34:17","disco total",3,1,1,1
21,4623474688,"2023-11-09 09:34:17","memoria disponivel",1,1,1,1
22,16901771264,"2023-11-09 09:34:17","memoria total",1,1,1,1
23,1.8,"2023-11-09 09:34:23","uso cpu",2,1,1,2
24,364016263168,"2023-11-09 09:34:23","disco livre",3,1,1,1
25,489271848960,"2023-11-09 09:34:23","disco total",3,1,1,1
26,4621910016,"2023-11-09 09:34:23","memoria disponivel",1,1,1,1
27,16901771264,"2023-11-09 09:34:23","memoria total",1,1,1,1
28,10.2,"2023-11-09 09:34:29","uso cpu",2,1,1,2
29,364016263168,"2023-11-09 09:34:29","disco livre",3,1,1,1
30,489271848960,"2023-11-09 09:34:29","disco total",3,1,1,1
31,4622082048,"2023-11-09 09:34:29","memoria disponivel",1,1,1,1
32,16901771264,"2023-11-09 09:34:29","memoria total",1,1,1,1
33,13.2,"2023-11-09 09:34:35","uso cpu",2,1,1,2
34,364016189440,"2023-11-09 09:34:35","disco livre",3,1,1,1
35,489271848960,"2023-11-09 09:34:35","disco total",3,1,1,1
36,4589006848,"2023-11-09 09:34:35","memoria disponivel",1,1,1,1
37,16901771264,"2023-11-09 09:34:35","memoria total",1,1,1,1
38,4167268,"2023-11-09 09:34:38","bytes enviados",4,1,1,1
39,49614646,"2023-11-09 09:34:38","bytes recebidos",4,1,1,1
40,7.4,"2023-11-09 09:34:41","uso cpu",2,1,1,2
41,364016115712,"2023-11-09 09:34:41","disco livre",3,1,1,1
42,489271848960,"2023-11-09 09:34:41","disco total",3,1,1,1
43,4704145408,"2023-11-09 09:34:41","memoria disponivel",1,1,1,1
44,16901771264,"2023-11-09 09:34:41","memoria total",1,1,1,1
45,0,"2023-11-09 09:34:48","uso cpu",2,1,1,2
46,364015779840,"2023-11-09 09:34:48","disco livre",3,1,1,1
47,489271848960,"2023-11-09 09:34:48","disco total",3,1,1,1
48,4676636672,"2023-11-09 09:34:48","memoria disponivel",1,1,1,1
49,16901771264,"2023-11-09 09:34:48","memoria total",1,1,1,1
50,5.4,"2023-11-09 09:34:54","uso cpu",2,1,1,2
51,364015910912,"2023-11-09 09:34:54","disco livre",3,1,1,1
52,489271848960,"2023-11-09 09:34:54","disco total",3,1,1,1
53,4691337216,"2023-11-09 09:34:54","memoria disponivel",1,1,1,1
54,16901771264,"2023-11-09 09:34:54","memoria total",1,1,1,1
55,7.6,"2023-11-09 09:35:00","uso cpu",2,1,1,2
56,364015906816,"2023-11-09 09:35:00","disco livre",3,1,1,1
57,489271848960,"2023-11-09 09:35:00","disco total",3,1,1,1
58,4697055232,"2023-11-09 09:35:00","memoria disponivel",1,1,1,1
59,16901771264,"2023-11-09 09:35:00","memoria total",1,1,1,1
60,2.9,"2023-11-09 09:35:06","uso cpu",2,1,1,2
61,364015906816,"2023-11-09 09:35:06","disco livre",3,1,1,1
62,489271848960,"2023-11-09 09:35:06","disco total",3,1,1,1
63,4693860352,"2023-11-09 09:35:06","memoria disponivel",1,1,1,1
64,16901771264,"2023-11-09 09:35:06","memoria total",1,1,1,1
65,0.2,"2023-11-09 09:35:12","uso cpu",2,1,1,2
66,364015906816,"2023-11-09 09:35:12","disco livre",3,1,1,1
67,489271848960,"2023-11-09 09:35:12","disco total",3,1,1,1
68,4688977920,"2023-11-09 09:35:12","memoria disponivel",1,1,1,1
69,16901771264,"2023-11-09 09:35:12","memoria total",1,1,1,1
70,0.6,"2023-11-09 09:35:18","uso cpu",2,1,1,2
71,364015968256,"2023-11-09 09:35:18","disco livre",3,1,1,1
72,489271848960,"2023-11-09 09:35:18","disco total",3,1,1,1
73,4702842880,"2023-11-09 09:35:18","memoria disponivel",1,1,1,1
74,16901771264,"2023-11-09 09:35:18","memoria total",1,1,1,1
75,7.2,"2023-11-09 09:35:24","uso cpu",2,1,1,2
76,364015968256,"2023-11-09 09:35:24","disco livre",3,1,1,1
77,489271848960,"2023-11-09 09:35:24","disco total",3,1,1,1
78,4708106240,"2023-11-09 09:35:24","memoria disponivel",1,1,1,1
79,16901771264,"2023-11-09 09:35:24","memoria total",1,1,1,1
80,4.9,"2023-11-09 09:35:30","uso cpu",2,1,1,2
81,364015968256,"2023-11-09 09:35:30","disco livre",3,1,1,1
82,489271848960,"2023-11-09 09:35:30","disco total",3,1,1,1
83,4712611840,"2023-11-09 09:35:30","memoria disponivel",1,1,1,1
84,16901771264,"2023-11-09 09:35:30","memoria total",1,1,1,1
85,3.3,"2023-11-09 09:35:36","uso cpu",2,1,1,2
86,364015550464,"2023-11-09 09:35:36","disco livre",3,1,1,1
87,489271848960,"2023-11-09 09:35:36","disco total",3,1,1,1
88,4685905920,"2023-11-09 09:35:36","memoria disponivel",1,1,1,1
89,16901771264,"2023-11-09 09:35:36","memoria total",1,1,1,1
90,4200871,"2023-11-09 09:35:41","bytes enviados",4,1,1,1
91,49678471,"2023-11-09 09:35:41","bytes recebidos",4,1,1,1
92,0.6,"2023-11-09 09:35:42","uso cpu",2,1,1,2
93,364015468544,"2023-11-09 09:35:42","disco livre",3,1,1,1
94,489271848960,"2023-11-09 09:35:42","disco total",3,1,1,1
95,4674248704,"2023-11-09 09:35:42","memoria disponivel",1,1,1,1
96,16901771264,"2023-11-09 09:35:42","memoria total",1,1,1,1
97,0,"2023-11-09 09:35:48","uso cpu",2,1,1,2
98,364015525888,"2023-11-09 09:35:48","disco livre",3,1,1,1
99,489271848960,"2023-11-09 09:35:48","disco total",3,1,1,1
100,4727500800,"2023-11-09 09:35:48","memoria disponivel",1,1,1,1
101,16901771264,"2023-11-09 09:35:48","memoria total",1,1,1,1
102,2,"2023-11-09 09:35:54","uso cpu",2,1,1,2
103,364015550464,"2023-11-09 09:35:54","disco livre",3,1,1,1
104,489271848960,"2023-11-09 09:35:54","disco total",3,1,1,1
105,4681199616,"2023-11-09 09:35:54","memoria disponivel",1,1,1,1
106,16901771264,"2023-11-09 09:35:54","memoria total",1,1,1,1
107,1.8,"2023-11-09 09:36:00","uso cpu",2,1,1,2
108,364015550464,"2023-11-09 09:36:00","disco livre",3,1,1,1
109,489271848960,"2023-11-09 09:36:00","disco total",3,1,1,1
110,4687732736,"2023-11-09 09:36:00","memoria disponivel",1,1,1,1
111,16901771264,"2023-11-09 09:36:00","memoria total",1,1,1,1
112,3.5,"2023-11-09 09:36:06","uso cpu",2,1,1,2
113,364015677440,"2023-11-09 09:36:06","disco livre",3,1,1,1
