data_hora;enviados;recebidos;fixo;env_mb;rec_mb;Representacao;nome_componente;id_maquina;hostname;razao_social
18:58;7286024;62895327;1000000;7,29;62,90;B;REDE;1;gyulia_piqueira;Empresa Exemplo
18:59;7286024;62929064;1000000;7,29;62,93;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:00;7286888;62944931;1000000;7,29;62,94;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:02;7287536;62985651;1000000;7,29;62,99;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:03;7287752;63015608;1000000;7,29;63,02;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:04;7288996;63271007;1000000;7,29;63,27;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:05;7288996;63631987;1000000;7,29;63,63;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:06;7289860;63712109;1000000;7,29;63,71;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:07;7289860;63728301;1000000;7,29;63,73;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:08;7291104;63794208;1000000;7,29;63,79;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:09;7291104;64288889;1000000;7,29;64,29;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:10;7291968;64720441;1000000;7,29;64,72;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:11;7291968;64781987;1000000;7,29;64,78;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:12;7292832;64795657;1000000;7,29;64,80;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:13;7293212;64914354;1000000;7,29;64,91;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:14;7294076;65692367;1000000;7,29;65,69;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:15;7294076;66570890;1000000;7,29;66,57;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:16;7294940;66779666;1000000;7,29;66,78;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:17;7294940;68609219;1000000;7,29;68,61;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:18;7296184;71387374;1000000;7,30;71,39;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:19;7296184;71438833;1000000;7,30;71,44;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:20;7297048;71470184;1000000;7,30;71,47;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:21;7297048;71494209;1000000;7,30;71,49;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:23;7297912;71527337;1000000;7,30;71,53;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:24;7298724;71616667;1000000;7,30;71,62;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:25;7299156;71655292;1000000;7,30;71,66;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:26;7300020;71708844;1000000;7,30;71,71;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:27;7300020;71740703;1000000;7,30;71,74;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:28;7300884;72379890;1000000;7,30;72,38;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:29;7301264;72409413;1000000;7,30;72,41;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:30;7302128;72519053;1000000;7,30;72,52;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:31;7302128;73408016;1000000;7,30;73,41;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:32;7302992;73452246;1000000;7,30;73,45;B;REDE;1;gyulia_piqueira;Empresa Exemplo
19:33;7302992;77375874;1000000;7,30;77,38;B;REDE;1;gyulia_piqueira;Empresa Exemplo
