dado_coletado,Representacao,data_hora,nome_componente,descricao,id_maquina,hostname,razao_social
1.2,%,13:25:47,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
3.1,%,13:25:41,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
4.5,%,13:25:35,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
5.3,%,13:25:29,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
4.9,%,13:25:22,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
4.5,%,13:25:16,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
5.5,%,13:25:10,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
9.6,%,13:25:04,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
8.3,%,13:24:58,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
5.5,%,13:24:52,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
4.9,%,13:24:46,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
5.9,%,13:24:40,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
4.4,%,13:24:34,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
3.7,%,13:24:28,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
3.2,%,13:24:22,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
2.2,%,13:24:16,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
2.1,%,13:24:10,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
3.4,%,13:24:04,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:23:58,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.2,%,13:23:52,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.2,%,13:23:46,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:23:40,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.4,%,13:23:33,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:23:27,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
1,%,13:23:21,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:23:15,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:23:09,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.4,%,13:23:03,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
7.4,%,13:22:57,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
4.3,%,13:22:51,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
3.8,%,13:22:45,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
2.9,%,13:22:39,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
1.9,%,13:22:33,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
1.8,%,13:22:27,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
2.9,%,13:22:21,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.8,%,13:22:15,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.2,%,13:22:09,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
11.9,%,13:22:03,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:21:57,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:21:50,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.2,%,13:21:44,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:21:38,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.4,%,13:21:32,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:21:26,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:21:20,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.4,%,13:21:14,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:21:08,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
5,%,13:21:02,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
2.9,%,13:20:56,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
3.3,%,13:20:50,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
1.8,%,13:20:44,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.6,%,13:20:38,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.6,%,13:20:32,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.4,%,13:20:26,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
1.8,%,13:20:19,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.2,%,13:20:13,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.4,%,13:20:07,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
3.5,%,13:20:01,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0.6,%,13:19:55,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:19:49,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:19:43,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
4.3,%,13:19:37,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:19:31,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
0,%,13:19:25,CPU,"uso cpu",1,Notebook-Ritinha,"Rite metro"
