data_hora,enviados,recebidos,nome_componente,id_maquina,hostname,razao_social
09:33:34,3.95,47.29,REDE,1,Notebook-Ritinha,"Rite metro"
09:34:38,3.97,47.32,REDE,1,Notebook-Ritinha,"Rite metro"
09:35:41,4.01,47.38,REDE,1,Notebook-Ritinha,"Rite metro"
09:36:44,4.03,47.41,REDE,1,Notebook-Ritinha,"Rite metro"
09:37:46,4.08,47.46,REDE,1,Notebook-Ritinha,"Rite metro"
09:38:49,4.12,47.51,REDE,1,Notebook-Ritinha,"Rite metro"
09:39:52,4.23,47.62,REDE,1,Notebook-Ritinha,"Rite metro"
09:40:55,5.13,56.31,REDE,1,Notebook-Ritinha,"Rite metro"
09:41:58,6.06,61.16,REDE,1,Notebook-Ritinha,"Rite metro"
09:43:01,6.12,61.33,REDE,1,Notebook-Ritinha,"Rite metro"
09:44:05,6.15,61.41,REDE,1,Notebook-Ritinha,"Rite metro"
09:45:08,6.19,61.47,REDE,1,Notebook-Ritinha,"Rite metro"
09:46:11,6.31,62.06,REDE,1,Notebook-Ritinha,"Rite metro"
09:47:14,6.72,62.24,REDE,1,Notebook-Ritinha,"Rite metro"
09:48:16,7.16,65.81,REDE,1,Notebook-Ritinha,"Rite metro"
09:49:19,7.76,67.35,REDE,1,Notebook-Ritinha,"Rite metro"
09:50:21,7.88,67.91,REDE,1,Notebook-Ritinha,"Rite metro"
09:51:23,7.89,67.95,REDE,1,Notebook-Ritinha,"Rite metro"
12:23:22,1.42,11.75,REDE,1,Notebook-Ritinha,"Rite metro"
12:24:26,1.46,11.81,REDE,1,Notebook-Ritinha,"Rite metro"
12:25:29,1.48,11.88,REDE,1,Notebook-Ritinha,"Rite metro"
12:26:32,1.59,14.32,REDE,1,Notebook-Ritinha,"Rite metro"
12:27:35,1.62,15.1,REDE,1,Notebook-Ritinha,"Rite metro"
12:28:38,1.64,15.14,REDE,1,Notebook-Ritinha,"Rite metro"
12:29:41,1.64,15.15,REDE,1,Notebook-Ritinha,"Rite metro"
12:30:44,1.65,15.16,REDE,1,Notebook-Ritinha,"Rite metro"
12:31:47,1.95,22.94,REDE,1,Notebook-Ritinha,"Rite metro"
12:32:50,1.95,22.95,REDE,1,Notebook-Ritinha,"Rite metro"
12:33:53,1.95,22.96,REDE,1,Notebook-Ritinha,"Rite metro"
12:34:55,1.96,22.98,REDE,1,Notebook-Ritinha,"Rite metro"
12:35:58,2,23.04,REDE,1,Notebook-Ritinha,"Rite metro"
12:37:01,2.01,23.05,REDE,1,Notebook-Ritinha,"Rite metro"
12:38:04,2.01,23.05,REDE,1,Notebook-Ritinha,"Rite metro"
12:39:15,2.05,23.11,REDE,1,Notebook-Ritinha,"Rite metro"
12:40:18,2.06,23.12,REDE,1,Notebook-Ritinha,"Rite metro"
12:41:21,2.07,23.13,REDE,1,Notebook-Ritinha,"Rite metro"
12:44:31,2.08,23.17,REDE,1,Notebook-Ritinha,"Rite metro"
13:13:29,7.73,51.98,REDE,1,Notebook-Ritinha,"Rite metro"
13:14:32,8.13,56.92,REDE,1,Notebook-Ritinha,"Rite metro"
13:15:35,8.13,56.93,REDE,1,Notebook-Ritinha,"Rite metro"
13:16:39,8.14,56.94,REDE,1,Notebook-Ritinha,"Rite metro"
13:17:42,8.16,56.98,REDE,1,Notebook-Ritinha,"Rite metro"
13:18:45,8.18,57,REDE,1,Notebook-Ritinha,"Rite metro"
13:19:49,8.23,57.09,REDE,1,Notebook-Ritinha,"Rite metro"
13:20:52,8.24,57.21,REDE,1,Notebook-Ritinha,"Rite metro"
13:21:55,8.24,57.21,REDE,1,Notebook-Ritinha,"Rite metro"
13:22:59,8.26,57.33,REDE,1,Notebook-Ritinha,"Rite metro"
13:24:02,8.28,57.36,REDE,1,Notebook-Ritinha,"Rite metro"
13:25:05,8.29,57.39,REDE,1,Notebook-Ritinha,"Rite metro"
18:56:48,28.7,439.64,REDE,1,Notebook-Ritinha,"Rite metro"
18:57:51,28.89,439.7,REDE,1,Notebook-Ritinha,"Rite metro"
18:58:54,28.93,439.7,REDE,1,Notebook-Ritinha,"Rite metro"
18:59:58,28.94,439.71,REDE,1,Notebook-Ritinha,"Rite metro"
19:01:01,29.08,439.74,REDE,1,Notebook-Ritinha,"Rite metro"
