idMonitoramento,dadoCapturado,tipoDeDado,dtHora,nomeComponente
100,3.7,porcetagem,"2023-09-30 23:18:08",CPU
103,5.3,porcetagem,"2023-09-30 23:18:14",CPU
106,4.1,porcetagem,"2023-09-30 23:18:20",CPU
109,3.3,porcetagem,"2023-09-30 23:18:26",CPU
112,5.3,porcetagem,"2023-09-30 23:18:32",CPU
115,5.2,porcetagem,"2023-09-30 23:18:38",CPU
118,6.4,porcetagem,"2023-09-30 23:18:44",CPU
121,6.2,porcetagem,"2023-09-30 23:18:51",CPU
124,6.2,porcetagem,"2023-09-30 23:18:57",CPU
127,4.6,porcetagem,"2023-09-30 23:19:03",CPU
130,23.8,porcetagem,"2023-09-30 23:19:09",CPU
133,14.1,porcetagem,"2023-09-30 23:19:15",CPU
136,13.6,porcetagem,"2023-09-30 23:19:22",CPU
139,10.2,porcetagem,"2023-09-30 23:19:28",CPU
142,23.4,porcetagem,"2023-09-30 23:19:34",CPU
145,10.5,porcetagem,"2023-09-30 23:19:40",CPU
148,10.5,porcetagem,"2023-09-30 23:19:46",CPU
151,10.8,porcetagem,"2023-09-30 23:19:53",CPU
154,9.9,porcetagem,"2023-09-30 23:19:59",CPU
157,11.1,porcetagem,"2023-09-30 23:20:05",CPU
160,10.1,porcetagem,"2023-09-30 23:20:11",CPU
163,10.1,porcetagem,"2023-09-30 23:20:17",CPU
166,11.5,porcetagem,"2023-09-30 23:20:23",CPU
169,12,porcetagem,"2023-09-30 23:20:30",CPU
172,10.1,porcetagem,"2023-09-30 23:20:36",CPU
175,13.5,porcetagem,"2023-09-30 23:20:42",CPU
178,14.8,porcetagem,"2023-09-30 23:20:48",CPU
181,14.8,porcetagem,"2023-09-30 23:20:54",CPU
184,23.2,porcetagem,"2023-09-30 23:21:00",CPU
187,6.3,porcetagem,"2023-09-30 23:21:07",CPU
190,14.1,porcetagem,"2023-09-30 23:21:13",CPU
193,21.4,porcetagem,"2023-09-30 23:21:19",CPU
196,11.7,porcetagem,"2023-09-30 23:21:25",CPU
199,12.4,porcetagem,"2023-09-30 23:21:31",CPU
202,10.1,porcetagem,"2023-09-30 23:21:37",CPU
205,8.9,porcetagem,"2023-09-30 23:21:44",CPU
208,12.4,porcetagem,"2023-09-30 23:21:50",CPU
211,13,porcetagem,"2023-09-30 23:21:56",CPU
214,14.3,porcetagem,"2023-09-30 23:22:02",CPU
217,12.5,porcetagem,"2023-09-30 23:22:08",CPU
220,18,porcetagem,"2023-09-30 23:22:14",CPU
223,12.8,porcetagem,"2023-09-30 23:22:21",CPU
226,7.8,porcetagem,"2023-09-30 23:22:27",CPU
229,9.9,porcetagem,"2023-09-30 23:22:33",CPU
232,8.8,porcetagem,"2023-09-30 23:22:39",CPU
235,9.3,porcetagem,"2023-09-30 23:22:46",CPU
238,6,porcetagem,"2023-09-30 23:22:52",CPU
241,4.9,porcetagem,"2023-09-30 23:22:58",CPU
244,12.7,porcetagem,"2023-09-30 23:23:04",CPU
247,4.5,porcetagem,"2023-09-30 23:23:11",CPU
250,5.4,porcetagem,"2023-09-30 23:23:17",CPU
253,6.8,porcetagem,"2023-09-30 23:23:23",CPU
256,4.7,porcetagem,"2023-09-30 23:23:29",CPU
259,7,porcetagem,"2023-09-30 23:23:35",CPU
262,17.7,porcetagem,"2023-09-30 23:23:42",CPU
265,14.6,porcetagem,"2023-09-30 23:23:48",CPU
268,12.2,porcetagem,"2023-09-30 23:23:54",CPU
271,12.8,porcetagem,"2023-09-30 23:24:00",CPU
274,9.8,porcetagem,"2023-09-30 23:24:06",CPU
277,12.9,porcetagem,"2023-09-30 23:24:12",CPU
280,11.7,porcetagem,"2023-09-30 23:24:18",CPU
283,11.9,porcetagem,"2023-09-30 23:24:25",CPU
286,25,porcetagem,"2023-09-30 23:24:31",CPU
289,9.1,porcetagem,"2023-09-30 23:24:37",CPU
292,14.8,porcetagem,"2023-09-30 23:24:43",CPU
295,12.7,porcetagem,"2023-09-30 23:24:49",CPU
298,26.2,porcetagem,"2023-09-30 23:24:55",CPU
301,5.9,porcetagem,"2023-09-30 23:25:01",CPU
304,14.1,porcetagem,"2023-09-30 23:25:08",CPU
307,9.2,porcetagem,"2023-09-30 23:25:14",CPU
